Quality, TestSubject, Precision, Recall, F1 score
Advance, Rachelle, 0.7, 0.583, 0.636
ArmsToUpperBody, Rachelle, 0.667, 0.25, 0.364
Bind, Rachelle, 0.286, 0.2, 0.235
Condense+Enclose, Rachelle, 0.452, 0.538, 0.491
Direct, Rachelle, 0.423, 0.458, 0.44
Free+Light, Rachelle, 0.467, 0.259, 0.333
HeadDrop, Rachelle, 0.75, 0.375, 0.5
Jump, Rachelle, 0.5, 0.107, 0.176
Passive, Rachelle, 0.565, 0.419, 0.481
Retreat, Rachelle, 0.391, 0.375, 0.383
Rhythmicity, Rachelle, 0.45, 0.375, 0.409
Rotation, Rachelle, 0.714, 0.536, 0.612
Sink, Rachelle, 0.333, 0.333, 0.333
Spread, Rachelle, 0.846, 0.524, 0.647
Strong, Rachelle, 0.333, 0.565, 0.419
Sudden, Rachelle, 0.75, 0.333, 0.462
Twist+Back, Rachelle, 0.682, 0.75, 0.714
Up+Rise, Rachelle, 0.684, 0.591, 0.634
Advance, Milca, 1.0, 0.533, 0.696
ArmsToUpperBody, Milca, 0.545, 0.667, 0.6
Bind, Milca, 0.667, 0.5, 0.571
Condense+Enclose, Milca, 0.692, 0.474, 0.563
Direct, Milca, 0.364, 0.308, 0.333
Free+Light, Milca, 0.481, 0.929, 0.634
HeadDrop, Milca, 0.529, 1.0, 0.692
Jump, Milca, 0.55, 1.0, 0.71
Passive, Milca, 0.318, 0.875, 0.467
Retreat, Milca, 0.647, 0.579, 0.611
Rhythmicity, Milca, 0.429, 0.923, 0.585
Rotation, Milca, 0.571, 0.571, 0.571
Sink, Milca, 0.304, 0.875, 0.452
Spread, Milca, 0.9, 0.818, 0.857
Strong, Milca, 0.444, 0.308, 0.364
Sudden, Milca, 0.667, 0.462, 0.545
Twist+Back, Milca, 0.667, 0.706, 0.686
Up+Rise, Milca, 0.8, 0.706, 0.75
Advance, Sharon, 0.421, 0.727, 0.533
ArmsToUpperBody, Sharon, 0.889, 0.571, 0.696
Bind, Sharon, 0.571, 0.727, 0.64
Condense+Enclose, Sharon, 0.333, 0.833, 0.476
Direct, Sharon, 0.389, 0.636, 0.483
Free+Light, Sharon, 1.0, 0.176, 0.3
HeadDrop, Sharon, 0.778, 0.636, 0.7
Jump, Sharon, 0.615, 0.5, 0.552
Passive, Sharon, 0.579, 0.917, 0.71
Retreat, Sharon, 0.533, 0.727, 0.615
Rhythmicity, Sharon, 0.385, 0.357, 0.37
Rotation, Sharon, 0.733, 0.733, 0.733
Sink, Sharon, 0.474, 0.9, 0.621
Spread, Sharon, 0.7, 0.438, 0.538
Strong, Sharon, 0.409, 0.9, 0.563
Sudden, Sharon, 0.214, 0.333, 0.261
Twist+Back, Sharon, 0.385, 0.455, 0.417
Up+Rise, Sharon, 0.25, 0.067, 0.105
Advance, Karen, 0.813, 0.929, 0.867
ArmsToUpperBody, Karen, 0.455, 0.769, 0.571
Bind, Karen, 0.467, 0.467, 0.467
Condense+Enclose, Karen, 1.0, 0.25, 0.4
Direct, Karen, 0.297, 0.846, 0.44
Free+Light, Karen, 0.533, 0.444, 0.485
HeadDrop, Karen, 0.444, 0.923, 0.6
Jump, Karen, 0.857, 0.286, 0.429
Passive, Karen, 0.229, 0.917, 0.367
Retreat, Karen, 0.5, 0.313, 0.385
Rhythmicity, Karen, 0.533, 0.421, 0.471
Rotation, Karen, 0.833, 0.263, 0.4
Sink, Karen, 0.3, 0.75, 0.429
Spread, Karen, 0.727, 0.4, 0.516
Strong, Karen, 0.4, 0.615, 0.485
Sudden, Karen, 0.643, 0.692, 0.667
Twist+Back, Karen, 1.0, 0.313, 0.476
Up+Rise, Karen, 0.923, 0.522, 0.667
Advance, Michal, 0.667, 0.286, 0.4
ArmsToUpperBody, Michal, 1.0, 0.667, 0.8
Bind, Michal, 0.4, 0.25, 0.308
Condense+Enclose, Michal, 0.222, 0.25, 0.235
Direct, Michal, 0.214, 0.375, 0.273
Free+Light, Michal, 0.5, 0.786, 0.611
HeadDrop, Michal, 0.778, 0.7, 0.737
Jump, Michal, 0.9, 0.818, 0.857
Passive, Michal, 0.778, 0.636, 0.7
Retreat, Michal, 0.5, 0.5, 0.5
Rhythmicity, Michal, 0.412, 0.538, 0.467
Rotation, Michal, 0.688, 0.917, 0.786
Sink, Michal, 0.5, 0.5, 0.5
Spread, Michal, 0.706, 0.923, 0.8
Strong, Michal, 0.6, 0.75, 0.667
Sudden, Michal, 0.375, 0.429, 0.4
Twist+Back, Michal, 0.5, 0.625, 0.556
Up+Rise, Michal, 0.636, 0.583, 0.609
Advance, Tara, 0.25, 0.143, 0.182
ArmsToUpperBody, Tara, 0.8, 1.0, 0.889
Bind, Tara, 0.563, 0.9, 0.692
Condense+Enclose, Tara, 0.455, 0.556, 0.5
Direct, Tara, 0.75, 0.375, 0.5
Free+Light, Tara, 0.556, 1.0, 0.714
HeadDrop, Tara, 0.545, 0.857, 0.667
Jump, Tara, 1.0, 0.714, 0.833
Passive, Tara, 0.3, 0.333, 0.316
Retreat, Tara, 0.444, 0.444, 0.444
Rhythmicity, Tara, 0.563, 0.818, 0.667
Rotation, Tara, 0.8, 1.0, 0.889
Sink, Tara, 0.6, 0.75, 0.667
Spread, Tara, 0.545, 0.667, 0.6
Strong, Tara, 0.6, 0.375, 0.462
Sudden, Tara, 0.5, 0.4, 0.444
Twist+Back, Tara, 0.625, 0.5, 0.556
Up+Rise, Tara, 0.727, 0.889, 0.8
